,batchs,gpus,times
half,16,1,15.63169002532959
half,16,2,25.295003652572632
half,16,3,32.52984881401062
half,16,4,39.59522604942322
half,32,1,28.92028570175171
half,32,2,26.931452751159668
half,32,3,32.697036266326904
half,32,4,40.02777099609375
half,64,1,54.65195417404175
half,64,2,36.941787004470825
half,64,3,35.14608860015869
half,64,4,39.90341305732727
half,128,1,105.68918108940125
half,128,2,62.56972670555115
half,128,3,50.59707760810852
half,128,4,45.686126947402954
single,16,1,15.700173377990723
single,16,2,25.260210037231445
single,16,3,32.5334632396698
single,16,4,39.95622754096985
single,32,1,29.0114963054657
single,32,2,26.95948600769043
single,32,3,32.71855354309082
single,32,4,39.83120918273926
single,64,1,54.72264647483826
single,64,2,38.288151025772095
single,64,3,35.26332497596741
single,64,4,40.48907518386841
single,128,1,105.76797604560852
single,128,2,62.648056745529175
single,128,3,50.37573218345642
single,128,4,45.58665990829468
double,16,1,15.703741312026978
double,16,2,25.3219473361969
double,16,3,33.083133697509766
double,16,4,40.441951751708984
double,32,1,29.012510776519775
double,32,2,27.324010133743286
double,32,3,33.009095191955566
double,32,4,40.276890993118286
double,64,1,54.7836709022522
double,64,2,36.795839071273804
double,64,3,35.0011682510376
double,64,4,39.91464972496033
double,128,1,105.87238788604736
double,128,2,62.92720317840576
double,128,3,48.41003179550171
double,128,4,45.5989670753479
